,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3756.0,202.0,1581.0,0.9489641232945932,0.7037661607644744,0.8081764389456697,0.9251929274620685,0.7672333092811402,0.8140828508025019
1,adverse reactions,discontinuous,145.0,,243.0,,0.37371134020618557,,,0.38720465808701104,
2,adverse reactions,exact-meddra,3120.0,,1043.0,,0.7494595243814557,,,0.8189231746205318,
3,adverse reactions,negated,21.0,,11.0,,0.65625,,,0.6944444444444444,
4,adverse reactions,non-meddra,636.0,,539.0,,0.5412765957446809,,,0.613369940079632,
5,all-concat,all,3619.0,185.0,3419.0,0.9513669821240799,0.514208581983518,0.6675890057185022,0.9342371256949685,0.5890410824325013,0.6881748809598728
6,all-concat,discontinuous,216.0,,526.0,,0.29110512129380056,,,0.30574738970205223,
7,all-concat,exact-meddra,2871.0,,1956.0,,0.5947793660658794,,,0.6773070037043241,
8,all-concat,negated,32.0,,27.0,,0.5423728813559322,,,0.5707070707070707,
9,all-concat,non-meddra,748.0,,1464.0,,0.33815551537070526,,,0.3923028309116923,
10,boxed warnings,all,197.0,86.0,65.0,0.696113074204947,0.7519083969465649,0.7229357798165138,0.7187582048390518,0.8515466881759451,0.7312883864757744
11,boxed warnings,discontinuous,15.0,,18.0,,0.45454545454545453,,,0.43452380952380953,
12,boxed warnings,exact-meddra,117.0,,19.0,,0.8602941176470589,,,0.9211309912498368,
13,boxed warnings,negated,2.0,,1.0,,0.6666666666666666,,,0.6666666666666666,
14,boxed warnings,non-meddra,80.0,,46.0,,0.6349206349206349,,,0.7211399711399711,
15,warnings and precautions,all,1351.0,498.0,1101.0,0.7306652244456463,0.550978792822186,0.6282259939548942,0.6954625071147238,0.6288242206766883,0.6118364948350914
16,warnings and precautions,discontinuous,137.0,,213.0,,0.3914285714285714,,,0.4157441368155654,
17,warnings and precautions,exact-meddra,786.0,,427.0,,0.6479802143446002,,,0.7635059031936086,
18,warnings and precautions,negated,18.0,,9.0,,0.6666666666666666,,,0.7450980392156863,
19,warnings and precautions,non-meddra,566.0,,674.0,,0.45645161290322583,,,0.5176789409619068,
0,all,all,5304.0,786.0,2747.0,0.870935960591133,0.6588001490498074,0.7287381313188734,0.7962491555189342,0.7239207109903382,0.7176248585429491
