,drug_name,section,ade_type,n_manual,n_gpt,tp,fp,fn,precision,recall,f1
0,KYPROLIS,adverse reactions,all,128,93,122,6.0,0,0.953125,1.0,0.976
1,KYPROLIS,adverse reactions,exact-meddra,104,93,102,,0,,1.0,
2,KYPROLIS,adverse reactions,non-meddra,25,93,20,,44,,0.3125,
3,KYPROLIS,adverse reactions,discontinuous,3,93,2,,84,,0.023255813953488372,
4,KYPROLIS,warnings and precautions,all,65,53,59,6.0,2,0.9076923076923077,0.9672131147540983,0.9365079365079365
5,KYPROLIS,warnings and precautions,exact-meddra,44,53,43,,4,,0.9148936170212766,
6,KYPROLIS,warnings and precautions,non-meddra,22,53,16,,22,,0.42105263157894735,
7,KYPROLIS,warnings and precautions,discontinuous,1,53,1,,49,,0.02,
8,KYPROLIS,all-concat,all,158,101,146,12.0,0,0.9240506329113924,1.0,0.9605263157894737
9,KYPROLIS,all-concat,exact-meddra,119,101,117,,0,,1.0,
10,KYPROLIS,all-concat,non-meddra,40,101,29,,46,,0.38666666666666666,
11,KYPROLIS,all-concat,discontinuous,4,101,3,,91,,0.031914893617021274,
12,MULTAQ,adverse reactions,all,39,32,39,0.0,0,1.0,1.0,1.0
13,MULTAQ,adverse reactions,exact-meddra,26,32,26,,5,,0.8387096774193549,
14,MULTAQ,adverse reactions,non-meddra,13,32,13,,13,,0.5,
15,MULTAQ,adverse reactions,discontinuous,5,32,5,,24,,0.1724137931034483,
16,MULTAQ,warnings and precautions,all,25,20,23,2.0,1,0.92,0.9583333333333334,0.9387755102040817
17,MULTAQ,warnings and precautions,exact-meddra,13,20,13,,3,,0.8125,
18,MULTAQ,warnings and precautions,non-meddra,12,20,10,,9,,0.5263157894736842,
19,MULTAQ,warnings and precautions,discontinuous,3,20,3,,16,,0.15789473684210525,
20,MULTAQ,boxed warnings,all,3,3,3,0.0,0,1.0,1.0,1.0
21,MULTAQ,boxed warnings,exact-meddra,3,3,3,,0,,1.0,
22,MULTAQ,all-concat,all,57,36,54,3.0,0,0.9473684210526315,1.0,0.972972972972973
23,MULTAQ,all-concat,exact-meddra,32,36,32,,7,,0.8205128205128205,
24,MULTAQ,all-concat,non-meddra,25,36,22,,12,,0.6470588235294118,
25,MULTAQ,all-concat,discontinuous,8,36,7,,25,,0.21875,
26,JUBLIA,adverse reactions,all,5,4,5,0.0,0,1.0,1.0,1.0
27,JUBLIA,adverse reactions,exact-meddra,3,4,3,,1,,0.75,
28,JUBLIA,adverse reactions,non-meddra,2,4,2,,3,,0.4,
29,JUBLIA,all-concat,all,5,4,5,0.0,0,1.0,1.0,1.0
30,JUBLIA,all-concat,exact-meddra,3,4,3,,1,,0.75,
31,JUBLIA,all-concat,non-meddra,2,4,2,,3,,0.4,
32,TEFLARO,adverse reactions,all,30,30,30,0.0,0,1.0,1.0,1.0
33,TEFLARO,adverse reactions,exact-meddra,26,30,26,,2,,0.9285714285714286,
34,TEFLARO,adverse reactions,non-meddra,4,30,4,,19,,0.17391304347826086,
35,TEFLARO,warnings and precautions,all,12,9,12,0.0,2,1.0,0.8571428571428571,0.923076923076923
36,TEFLARO,warnings and precautions,exact-meddra,2,9,2,,7,,0.2222222222222222,
37,TEFLARO,warnings and precautions,non-meddra,10,9,10,,2,,0.8333333333333334,
38,TEFLARO,warnings and precautions,negated,1,9,1,,8,,0.1111111111111111,
39,TEFLARO,warnings and precautions,discontinuous,2,9,2,,7,,0.2222222222222222,
40,TEFLARO,all-concat,all,38,30,37,1.0,0,0.9736842105263158,1.0,0.9866666666666666
41,TEFLARO,all-concat,exact-meddra,27,30,27,,2,,0.9310344827586207,
42,TEFLARO,all-concat,non-meddra,11,30,10,,16,,0.38461538461538464,
43,TEFLARO,all-concat,negated,1,30,1,,29,,0.03333333333333333,
44,TEFLARO,all-concat,discontinuous,2,30,2,,24,,0.07692307692307693,
45,DATSCAN,adverse reactions,all,11,10,11,0.0,0,1.0,1.0,1.0
46,DATSCAN,adverse reactions,exact-meddra,8,10,8,,0,,1.0,
47,DATSCAN,adverse reactions,non-meddra,3,10,3,,5,,0.375,
48,DATSCAN,warnings and precautions,all,3,4,3,0.0,1,1.0,0.75,0.8571428571428571
49,DATSCAN,warnings and precautions,exact-meddra,1,4,1,,2,,0.3333333333333333,
50,DATSCAN,warnings and precautions,non-meddra,2,4,2,,1,,0.6666666666666666,
