,section,ade_type,tp,fp,fn,micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1
0,adverse reactions,all,3984.0,442.0,1353.0,0.9001355625847266,0.746486790331647,0.8161425791252688,0.8777445619193609,0.770290222367122,0.8304429243926609
1,adverse reactions,discontinuous,52.0,,336.0,,0.13402061855670103,,,0.14779573367808663,
2,adverse reactions,exact-meddra,3527.0,,636.0,,0.8472255584914725,,,0.8610190038856793,
3,adverse reactions,negated,18.0,,14.0,,0.5625,,,0.5357142857142857,
4,adverse reactions,non-meddra,457.0,,718.0,,0.38893617021276594,,,0.4762207224356033,
5,all-concat,all,4335.0,784.0,2703.0,0.8468450869310412,0.6159420289855072,0.7131693674426256,0.8303104949227259,0.6504875995987118,0.7186461141933351
6,all-concat,discontinuous,72.0,,670.0,,0.09703504043126684,,,0.1009145923979854,
7,all-concat,exact-meddra,3780.0,,1047.0,,0.7830950901180858,,,0.8084829718656151,
8,all-concat,negated,24.0,,35.0,,0.4067796610169492,,,0.4166666666666667,
9,all-concat,non-meddra,555.0,,1657.0,,0.25090415913200725,,,0.318381201790915,
10,boxed warnings,all,170.0,165.0,92.0,0.5074626865671642,0.648854961832061,0.5695142378559463,0.5424982911825017,0.6626637373347899,0.5760646914526281
11,boxed warnings,discontinuous,11.0,,22.0,,0.3333333333333333,,,0.31926406926406925,
12,boxed warnings,exact-meddra,113.0,,23.0,,0.8308823529411765,,,0.7577314875277524,
13,boxed warnings,negated,3.0,,0.0,,1.0,,,1.0,
14,boxed warnings,non-meddra,57.0,,69.0,,0.4523809523809524,,,0.46684704184704184,
15,warnings and precautions,all,1301.0,1134.0,1151.0,0.5342915811088296,0.5305872756933115,0.5324329854716595,0.5049412372209875,0.5639425019747176,0.5165585728405078
16,warnings and precautions,discontinuous,57.0,,293.0,,0.16285714285714287,,,0.2075865800865801,
17,warnings and precautions,exact-meddra,902.0,,311.0,,0.7436108821104699,,,0.7650183473641823,
18,warnings and precautions,negated,13.0,,14.0,,0.48148148148148145,,,0.5245098039215685,
19,warnings and precautions,non-meddra,399.0,,841.0,,0.3217741935483871,,,0.38587671315201916,
0,all,all,5455.0,1741.0,2596.0,0.7580600333518621,0.6775555831573717,0.6827674617776635,0.66845715289075,0.6681481235989363,0.6606117208591729
